"","Season","Squad","Comp","Player","Nation","Pos","Age","Mins_Per_90","Att","Live_Pass_Types","Dead_Pass_Types","FK_Pass_Types","TB_Pass_Types","Sw_Pass_Types","Crs_Pass_Types","TI_Pass_Types","CK_Pass_Types","In_Corner_Kicks","Out_Corner_Kicks","Str_Corner_Kicks","Cmp_Outcomes","Off_Outcomes","Blocks_Outcomes","PlayerURL"
"50",NA,"2023 Grêmio","","Vinícius","BRA","FW","31",7.3,351,344,7,2,2,0,4,0,0,0,0,0,285,0,10,"https://fbref.com/en/players/ee01c84d/Vinicius"
"51",NA,"2023 Grêmio","","Nathan","BRA","MF,FW","26",7.6,318,303,13,2,1,1,9,1,9,2,3,0,260,2,3,"https://fbref.com/en/players/fa00f0c9/Nathan"
"52",NA,"2023 Grêmio","","Ferreira","BRA","FW,MF","25",12.7,523,498,20,3,3,3,28,3,11,2,4,0,416,5,17,"https://fbref.com/en/players/1414e902/Ferreira"
"53",NA,"2023 Grêmio","","Pedro Geromel","BRA","DF","37",5.2,232,225,7,7,0,4,3,0,0,0,0,0,195,0,3,"https://fbref.com/en/players/78f81520/Pedro-Geromel"
"54",NA,"2023 Grêmio","","Gustavo Martins Santos","BRA","DF,MF","20",7.7,436,413,22,7,0,7,3,15,0,0,0,0,360,1,6,"https://fbref.com/en/players/ae03ce49/Gustavo-Martins-Santos"
"55",NA,"2023 Grêmio","","Cuiabano","BRA","DF,MF","19",5.4,224,189,33,6,1,4,20,26,1,0,0,0,132,2,14,"https://fbref.com/en/players/7e49bdbd/Cuiabano"
"56",NA,"2023 Grêmio","","Ronald","BRA","MF","19",4.6,250,245,5,4,0,1,2,1,0,0,0,0,212,0,5,"https://fbref.com/en/players/5334ff3f/Ronald"
"57",NA,"2023 Grêmio","","Lucas Besozzi","ARG","FW,MF","20",4.4,195,193,0,0,2,0,12,0,0,0,0,0,149,2,8,"https://fbref.com/en/players/d8dcc840/Lucas-Besozzi"
"58",NA,"2023 Grêmio","","Diogo Barbosa","BRA","DF","30",4.3,210,163,46,5,0,0,5,40,1,0,0,0,156,1,6,"https://fbref.com/en/players/7b9ef26b/Diogo-Barbosa"
"59",NA,"2023 Grêmio","","Caíque","BRA","GK","25",4,95,50,45,12,0,0,0,0,0,0,0,0,59,0,0,"https://fbref.com/en/players/49892b6e/Caique"
"60",NA,"2023 Grêmio","","Lucas Milla","BRA","MF","20",3.4,143,141,2,1,0,1,1,1,0,0,0,0,94,0,7,"https://fbref.com/en/players/4718306f/Lucas-Milla"
