"","Season","Squad","Comp","Player","Nation","Pos","Age","MP","Starts_Playing_Time","Min_Playing_Time","Mins_Per_90_Playing_Time","Gls","Ast","G+A","G_minus_PK","PK","PKatt","CrdY","CrdR","xG_Expected","npxG_Expected","xAG_Expected","npxG+xAG_Expected","PrgC_Progression","PrgP_Progression","PrgR_Progression","Gls_Per_Minutes","Ast_Per_Minutes","G+A_Per_Minutes","G_minus_PK_Per_Minutes","G+A_minus_PK_Per_Minutes","xG_Per_Minutes","xAG_Per_Minutes","xG+xAG_Per_Minutes","npxG_Per_Minutes","npxG+xAG_Per_Minutes","PlayerURL","MP_Playing_Time"
"200",NA,"2023 Botafogo (RJ)","Série A","Joel Carli","ARG","DF","36",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/00d6e369/Joel-Carli",NA
"201",NA,"2023 Botafogo (RJ)","Série A","João Fernando","BRA","GK","21",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/b9f27c88/Joao-Fernando",NA
"202",NA,"2023 Botafogo (RJ)","Série A","Igo Gabriel","BRA","GK","21",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/61e16f97/Igo-Gabriel",NA
"203",NA,"2023 Botafogo (RJ)","Série A","Jacob Montes","NCA","MF","24",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/69678c84/Jacob-Montes",NA
"204",NA,"2023 Botafogo (RJ)","Série A","Wallison Silva","BRA","DF","21",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/fed292fe/Wallison-Silva",NA
"205",NA,"2023 Botafogo (RJ)","Série A","David Sousa","BRA","DF","21",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/d588a2bd/David-Sousa",NA
"206",NA,"2023 Botafogo (RJ)","Série A","Henrique Vermudt","BRA","MF","23",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/343837c6/Henrique-Vermudt",NA
"207",NA,"2023 Bragantino","Série A","Cleiton Schwengber","BRA","GK","25",33,33,2970,33,0,0,0,0,0,0,7,1,0.1,0.1,0,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/d24ae824/Cleiton-Schwengber",NA
"208",NA,"2023 Bragantino","Série A","Juninho Capixaba","BRA","DF","25",34,33,2875,31.9,2,1,3,2,0,0,12,0,2.9,2.9,4.5,7.4,71,231,127,0.06,0.03,0.09,0.06,0.09,0.09,0.14,0.23,0.09,0.23,"https://fbref.com/en/players/91ba7336/Juninho-Capixaba",NA
"209",NA,"2023 Bragantino","Série A","Lucas Evangelista","BRA","MF","27",33,32,2722,30.2,1,6,7,1,0,0,6,0,3.7,3.7,7.1,10.8,34,165,151,0.03,0.2,0.23,0.03,0.23,0.12,0.23,0.36,0.12,0.36,"https://fbref.com/en/players/5f4ce4b6/Lucas-Evangelista",NA
"210",NA,"2023 Bragantino","Série A","Matheus Fernandes","BRA","MF","24",33,31,2336,26,1,3,4,1,0,0,8,0,0.8,0.8,1.5,2.3,41,143,46,0.04,0.12,0.15,0.04,0.15,0.03,0.06,0.09,0.03,0.09,"https://fbref.com/en/players/f76fdcd2/Matheus-Fernandes",NA
"211",NA,"2023 Bragantino","Série A","Eduardo Sasha","BRA","FW,MF","30",33,31,2229,24.8,11,3,14,8,3,3,3,0,11.4,9,4.3,13.3,23,82,141,0.44,0.12,0.57,0.32,0.44,0.46,0.17,0.63,0.37,0.54,"https://fbref.com/en/players/b938b871/Eduardo-Sasha",NA
