"","Season","Squad","Comp","Player","Nation","Pos","Age","Mins_Per_90","Gls_Standard","Sh_Standard","SoT_Standard","SoT_percent_Standard","Sh_per_90_Standard","SoT_per_90_Standard","G_per_Sh_Standard","G_per_SoT_Standard","Dist_Standard","FK_Standard","PK_Standard","PKatt_Standard","xG_Expected","npxG_Expected","npxG_per_Sh_Expected","G_minus_xG_Expected","np:G_minus_xG_Expected","PlayerURL"
"704",NA,"2023 Coritiba","","Wesley Pombo","BRA","MF","20",0.6,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,"https://fbref.com/en/players/51db89fc/Wesley-Pombo"
"705",NA,"2023 Coritiba","","Ruan Lucas","BRA","MF,FW","18",0.3,0,1,1,100,3.1,3.1,0,0,25.6,0,0,0,0,0,0.03,0,0,"https://fbref.com/en/players/df513353/Ruan-Lucas"
"706",NA,"2023 Coritiba","","Éberth Araújo Nogueira","BRA","FW","19",0.3,0,1,0,0,3.6,0,0,NA,18.3,0,0,0,0,0,0.03,0,0,"https://fbref.com/en/players/6e60f591/Eberth-Araujo-Nogueira"
"707",NA,"2023 América (MG)","Série A","Juninho","BRA","MF","35",32.5,3,28,10,35.7,0.86,0.31,0.11,0.3,15.7,0,0,0,2.4,2.4,0.09,0.6,0.6,"https://fbref.com/en/players/7d10ca2e/Juninho"
"708",NA,"2023 América (MG)","Série A","Leandro Emmanuel Martínez","ARG","MF","28",28.2,1,37,11,29.7,1.31,0.39,0.03,0.09,22.8,3,0,0,3.3,3.3,0.09,-2.3,-2.3,"https://fbref.com/en/players/74758396/Leandro-Emmanuel-Martinez"
"709",NA,"2023 América (MG)","Série A","Felipe Azevedo","BRA","FW,MF","36",19.4,4,45,15,33.3,2.32,0.77,0.09,0.27,17.3,0,0,0,3.7,3.7,0.09,0.3,0.3,"https://fbref.com/en/players/4a22b15a/Felipe-Azevedo"
"710",NA,"2023 América (MG)","Série A","Iago Maidana","BRA","DF","26",24,0,15,4,26.7,0.62,0.17,0,0,13.6,0,0,0,0.8,0.8,0.05,-0.8,-0.8,"https://fbref.com/en/players/e65a5924/Iago-Maidana"
"711",NA,"2023 América (MG)","Série A","Danilo Avelar","BRA","DF","33",22,3,34,9,26.5,1.54,0.41,0.06,0.22,13.5,0,1,1,4,3.2,0.1,-1,-1.2,"https://fbref.com/en/players/eacb45fd/Danilo-Avelar"
"712",NA,"2023 América (MG)","Série A","Gonzalo Mastriani","URU","FW","29",19.9,11,54,23,42.6,2.71,1.15,0.19,0.43,14.3,0,1,2,10.7,9.2,0.17,0.3,0.8,"https://fbref.com/en/players/b4339e2b/Gonzalo-Mastriani"
"713",NA,"2023 América (MG)","Série A","Marlon","BRA","DF","28",18.6,1,11,3,27.3,0.59,0.16,0.09,0.33,24.2,0,0,0,0.5,0.5,0.04,0.5,0.5,"https://fbref.com/en/players/a87b508e/Marlon"
"714",NA,"2023 América (MG)","Série A","Ricardo Silva","BRA","DF","30",17.9,1,7,4,57.1,0.39,0.22,0.14,0.25,13.1,0,0,0,0.7,0.7,0.1,0.3,0.3,"https://fbref.com/en/players/a5075276/Ricardo-Silva"
"715",NA,"2023 América (MG)","Série A","Eder","BRA","DF","27",17.4,0,7,2,28.6,0.4,0.11,0,0,12.7,0,0,0,0.4,0.4,0.05,-0.4,-0.4,"https://fbref.com/en/players/ba1a2c4c/Eder"
"716",NA,"2023 América (MG)","Série A","Lucas Kal","BRA","MF","26",13.7,0,11,2,18.2,0.8,0.15,0,0,27,0,0,0,0.3,0.3,0.03,-0.3,-0.3,"https://fbref.com/en/players/33ed689d/Lucas-Kal"
"717",NA,"2023 América (MG)","Série A","Matheus Cavichioli","BRA","GK","36",15,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,"https://fbref.com/en/players/8470f026/Matheus-Cavichioli"
"718",NA,"2023 América (MG)","Série A","Rodriguinho","BRA","DF,MF","19",13.9,2,12,4,33.3,0.87,0.29,0.17,0.5,21,0,0,0,0.5,0.5,0.04,1.5,1.5,"https://fbref.com/en/players/4565dde3/Rodriguinho"
