"","Season","Squad","Comp","Player","Nation","Pos","Age","Mins_Per_90","Touches_Touches","Def Pen_Touches","Def 3rd_Touches","Mid 3rd_Touches","Att 3rd_Touches","Att Pen_Touches","Live_Touches","Att_Take_Ons","Succ_Take_Ons","Succ_percent_Take_Ons","Tkld_Take_Ons","Tkld_percent_Take_Ons","Carries_Carries","TotDist_Carries","PrgDist_Carries","PrgC_Carries","Final_Third_Carries","CPA_Carries","Mis_Carries","Dis_Carries","Rec_Receiving","PrgR_Receiving","PlayerURL"
"45",NA,"2023 Grêmio","","João Pedro Pepê","BRA","MF","25",15.5,946,53,214,566,179,14,946,36,20,55.6,11,30.6,583,2917,1598,20,18,3,22,14,670,39,"https://fbref.com/en/players/d75471eb/Joao-Pedro-Pepe"
"46",NA,"2023 Grêmio","","Fábio","BRA","DF,MF","32",9.7,582,41,144,231,210,16,582,5,2,40,3,60,269,1300,730,23,19,1,9,4,331,70,"https://fbref.com/en/players/bc7b4580/Fabio"
"47",NA,"2023 Grêmio","","João Pedro","ITA","FW","30",6.8,199,10,27,85,91,29,199,16,5,31.3,11,68.8,96,525,269,8,6,5,13,7,132,36,"https://fbref.com/en/players/81255c03/Joao-Pedro"
"48",NA,"2023 Grêmio","","Everton","BRA","FW,MF","25",13.5,589,9,64,270,260,29,589,56,24,42.9,31,55.4,368,1999,765,21,19,8,38,30,421,64,"https://fbref.com/en/players/3b66e70c/Everton"
"49",NA,"2023 Grêmio","","Rodrigo Ely","BRA","DF","29",7.4,278,67,170,107,3,3,278,0,0,NA,0,NA,110,476,238,1,0,0,2,0,142,0,"https://fbref.com/en/players/fd47b4f2/Rodrigo-Ely"
"50",NA,"2023 Grêmio","","Vinícius","BRA","FW","31",7.3,411,4,38,245,131,14,411,10,7,70,2,20,265,1057,529,11,9,2,15,5,330,39,"https://fbref.com/en/players/ee01c84d/Vinicius"
"51",NA,"2023 Grêmio","","Nathan","BRA","MF,FW","26",7.6,403,9,50,205,152,14,403,20,8,40,7,35,218,971,494,13,14,1,8,5,269,40,"https://fbref.com/en/players/fa00f0c9/Nathan"
"52",NA,"2023 Grêmio","","Ferreira","BRA","FW,MF","25",12.7,700,9,93,288,344,48,700,72,35,48.6,34,47.2,481,3545,1949,53,40,17,36,19,526,128,"https://fbref.com/en/players/1414e902/Ferreira"
"53",NA,"2023 Grêmio","","Pedro Geromel","BRA","DF","37",5.2,291,48,161,122,9,1,291,0,0,NA,0,NA,164,661,307,0,1,0,2,0,168,4,"https://fbref.com/en/players/78f81520/Pedro-Geromel"
"54",NA,"2023 Grêmio","","Gustavo Martins Santos","BRA","DF,MF","20",7.7,541,49,200,274,72,15,541,7,4,57.1,3,42.9,274,1451,851,8,12,1,11,2,337,9,"https://fbref.com/en/players/ae03ce49/Gustavo-Martins-Santos"
"55",NA,"2023 Grêmio","","Cuiabano","BRA","DF,MF","19",5.4,322,14,82,128,116,10,322,11,4,36.4,5,45.5,155,851,391,13,10,3,13,9,165,34,"https://fbref.com/en/players/7e49bdbd/Cuiabano"
"56",NA,"2023 Grêmio","","Ronald","BRA","MF","19",4.6,294,13,47,195,54,10,294,0,0,NA,0,NA,144,516,236,3,4,0,8,0,187,4,"https://fbref.com/en/players/5334ff3f/Ronald"
"57",NA,"2023 Grêmio","","Lucas Besozzi","ARG","FW,MF","20",4.4,252,3,29,94,134,18,252,23,8,34.8,14,60.9,164,1281,705,30,21,10,10,7,181,47,"https://fbref.com/en/players/d8dcc840/Lucas-Besozzi"
"58",NA,"2023 Grêmio","","Diogo Barbosa","BRA","DF","30",4.3,267,18,70,131,70,5,267,21,7,33.3,12,57.1,119,715,352,8,10,2,7,3,140,19,"https://fbref.com/en/players/7b9ef26b/Diogo-Barbosa"
"59",NA,"2023 Grêmio","","Caíque","BRA","GK","25",4,105,93,105,0,0,0,105,0,0,NA,0,NA,46,406,267,0,0,0,0,0,22,0,"https://fbref.com/en/players/49892b6e/Caique"
"60",NA,"2023 Grêmio","","Lucas Milla","BRA","MF","20",3.4,191,6,48,117,30,3,191,7,7,100,0,0,90,418,195,5,6,1,7,5,103,7,"https://fbref.com/en/players/4718306f/Lucas-Milla"
"61",NA,"2023 Grêmio","","Thomas Luciano","BRA","DF","21",3.5,180,14,65,69,46,6,180,6,3,50,0,0,71,243,101,3,1,1,5,2,77,14,"https://fbref.com/en/players/0e624011/Thomas-Luciano"
"62",NA,"2023 Grêmio","","Lucas Silva","BRA","MF","29",2.5,169,9,40,116,14,0,169,3,3,100,0,0,105,509,173,3,3,0,3,5,110,2,"https://fbref.com/en/players/1c646218/Lucas-Silva"
"63",NA,"2023 Grêmio","","Nathan Fernandes","BRA","FW,MF","17",4.2,170,3,18,52,105,20,170,24,16,66.7,5,20.8,129,1083,518,15,12,11,18,6,134,40,"https://fbref.com/en/players/239bbd8b/Nathan-Fernandes"
"64",NA,"2023 Grêmio","","Adriel","BRA","GK","22",2,65,54,65,0,0,0,65,0,0,NA,0,NA,23,141,109,0,0,0,0,0,10,0,"https://fbref.com/en/players/11ad100a/Adriel"
"65",NA,"2023 Grêmio","","Andre Martins","BRA","FW,MF","21",4.1,204,5,24,88,92,19,204,14,10,71.4,4,28.6,105,471,212,7,6,4,11,8,150,29,"https://fbref.com/en/players/56224aa6/Andre-Martins"
"66",NA,"2023 Grêmio","","Zinho","BRA","FW,MF","19",2.7,98,0,16,41,47,10,98,14,8,57.1,5,35.7,64,544,304,15,7,5,13,5,69,24,"https://fbref.com/en/players/a698bdd2/Zinho"
