"","Season","Squad","Comp","Player","Nation","Pos","Age","Mins_Per_90","Cmp_Total","Att_Total","Cmp_percent_Total","TotDist_Total","PrgDist_Total","Cmp_Short","Att_Short","Cmp_percent_Short","Cmp_Medium","Att_Medium","Cmp_percent_Medium","Cmp_Long","Att_Long","Cmp_percent_Long","Ast","xAG","xA_Expected","A_minus_xAG_Expected","KP","Final_Third","PPA","CrsPA","PrgP","PlayerURL"
"59",NA,"2023 Grêmio","","Caíque","BRA","GK","25",4,59,95,62.1,1909,1489,7,7,100,17,18,94.4,33,68,48.5,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/49892b6e/Caique"
"60",NA,"2023 Grêmio","","Lucas Milla","BRA","MF","20",3.4,94,143,65.7,1587,386,49,65,75.4,30,46,65.2,10,17,58.8,0,0,0.1,0,1,13,0,0,15,"https://fbref.com/en/players/4718306f/Lucas-Milla"
"61",NA,"2023 Grêmio","","Thomas Luciano","BRA","DF","21",3.5,85,128,66.4,1127,412,54,65,83.1,23,37,62.2,3,11,27.3,0,0,0.1,0,0,3,0,0,5,"https://fbref.com/en/players/0e624011/Thomas-Luciano"
"62",NA,"2023 Grêmio","","Lucas Silva","BRA","MF","29",2.5,127,148,85.8,2042,533,65,71,91.5,52,60,86.7,8,11,72.7,0,0,0,0,1,13,0,0,14,"https://fbref.com/en/players/1c646218/Lucas-Silva"
"63",NA,"2023 Grêmio","","Nathan Fernandes","BRA","FW,MF","17",4.2,84,113,74.3,1137,268,53,66,80.3,25,34,73.5,3,4,75,1,0.2,0.2,0.8,6,4,4,0,10,"https://fbref.com/en/players/239bbd8b/Nathan-Fernandes"
"64",NA,"2023 Grêmio","","Adriel","BRA","GK","22",2,28,63,44.4,1101,947,3,3,100,10,10,100,15,50,30,0,0,0,0,0,1,0,0,0,"https://fbref.com/en/players/11ad100a/Adriel"
"65",NA,"2023 Grêmio","","Andre Martins","BRA","FW,MF","21",4.1,107,141,75.9,1332,264,60,77,77.9,36,41,87.8,1,2,50,0,0.7,0.3,-0.7,5,4,2,0,16,"https://fbref.com/en/players/56224aa6/Andre-Martins"
"66",NA,"2023 Grêmio","","Zinho","BRA","FW,MF","19",2.7,42,61,68.9,503,163,29,36,80.6,10,13,76.9,1,4,25,1,0.5,0.3,0.5,2,4,3,0,7,"https://fbref.com/en/players/a698bdd2/Zinho"
"67",NA,"2023 Grêmio","","Josué","BRA","MF","17",1.3,36,52,69.2,543,160,19,25,76,16,20,80,1,4,25,0,0,0,0,0,1,0,0,2,"https://fbref.com/en/players/4fd72cba/Josue"
"68",NA,"2023 Grêmio","","Brenno","BRA","GK","23",1,17,19,89.5,356,200,6,6,100,8,8,100,3,5,60,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/f002e8eb/Brenno"
"69",NA,"2023 Grêmio","","Wesley","BRA","DF","19",1,21,39,53.8,267,136,16,19,84.2,5,14,35.7,0,4,0,0,0,0,0,0,2,0,0,1,"https://fbref.com/en/players/aaa5df99/Wesley"
"70",NA,"2023 Grêmio","","Juan Iturbe","PAR","FW,MF","29",0.8,19,28,67.9,261,112,12,14,85.7,5,9,55.6,1,2,50,0,0,0,0,0,2,0,0,2,"https://fbref.com/en/players/2c0fbaf5/Juan-Iturbe"
"71",NA,"2023 Grêmio","","Luan Vieira","BRA","FW,MF","29",0.6,37,46,80.4,547,162,25,27,92.6,8,11,72.7,3,7,42.9,0,0,0.1,0,0,4,2,0,7,"https://fbref.com/en/players/c4f6bf06/Luan-Vieira"
"72",NA,"2023 Grêmio","","Darlan Mendes","BRA","MF","24",0.5,16,18,88.9,342,92,4,5,80,9,10,90,3,3,100,0,0,0,0,1,3,0,0,1,"https://fbref.com/en/players/a86f0d7b/Darlan-Mendes"
"73",NA,"2023 Grêmio","","Gustavinho","BRA","FW,MF","21",0.4,13,21,61.9,199,98,3,6,50,7,8,87.5,1,5,20,0,0.1,0.1,-0.1,1,0,1,0,2,"https://fbref.com/en/players/69896b0e/Gustavinho"
"74",NA,"2023 Grêmio","","Freddy Noguera","PAR","FW","19",0.3,2,3,66.7,31,0,1,1,100,1,2,50,0,0,NA,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/8317e485/Freddy-Noguera"
"75",NA,"2023 Grêmio","","Nata","BRA","FW,DF","21",0.2,11,12,91.7,199,95,4,4,100,7,8,87.5,0,0,NA,0,0,0,0,0,0,0,0,1,"https://fbref.com/en/players/b9ae93ab/Nata"
"76",NA,"2023 Grêmio","","Lian","BRA","MF","17",0.1,2,2,100,34,7,1,1,100,1,1,100,0,0,NA,0,0,0,0,0,1,0,0,0,"https://fbref.com/en/players/d143aba5/Lian"
"77",NA,"2023 Grêmio","","João Vitor","BRA","MF","17",0.1,5,5,100,60,13,4,4,100,1,1,100,0,0,NA,0,0,0,0,0,1,0,0,0,"https://fbref.com/en/players/5b19b28b/Joao-Vitor"
"78",NA,"2023 Atlético Mineiro","Série A","Éverson","BRA","GK","32",36,752,1064,70.7,22858,17894,111,111,100,311,314,99,325,632,51.4,0,0,0.1,0,1,12,0,0,1,"https://fbref.com/en/players/a59c090b/Everson"
"79",NA,"2023 Atlético Mineiro","Série A","Paulinho","BRA","FW,MF","22",33.2,854,1050,81.3,11117,2423,544,631,86.2,225,262,85.9,29,39,74.4,2,2.5,2.8,-0.5,36,61,30,3,77,"https://fbref.com/en/players/53070b63/Paulinho"
"80",NA,"2023 Atlético Mineiro","Série A","Hulk","BRA","FW","36",32.7,651,1000,65.1,10284,3063,353,450,78.4,194,293,66.2,68,152,44.7,11,6.9,6.3,4.1,60,50,45,7,109,"https://fbref.com/en/players/33a1f72e/Hulk"
